City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
166,manzanillo,20.3433,-77.1167,75.25,89,41,4.38,CU,1627624692
167,lufilufi,-13.8745,-171.5986,82.18,79,61,17.63,WS,1627624692
168,airai,-8.9266,125.4092,76.06,40,6,3.71,TL,1627624692
169,xining,36.6167,101.7667,81.86,22,0,4.47,CN,1627624693
170,nome,64.5011,-165.4064,49.15,97,100,6.02,US,1627624693
171,salalah,17.0151,54.0924,77.9,90,100,14.79,OM,1627624693
172,buba,11.5833,-15.0,73.63,98,99,3.31,GW,1627624693
173,bayir,37.2687,28.2167,84.72,23,0,8.7,TR,1627624694
174,tahlequah,35.9154,-94.97,78.08,100,1,0.0,US,1627624694
175,lima,-12.0432,-77.0282,59.25,88,90,9.22,PE,1627624636
176,verkhnevilyuysk,63.4453,120.3167,78.24,26,33,4.61,RU,1627624695
177,luderitz,-26.6481,15.1594,64.78,36,0,13.06,NA,1627624695
178,mar del plata,-38.0023,-57.5575,46.0,67,0,1.99,AR,1627624695
179,komsomolskiy,40.4272,71.7189,86.72,26,65,4.61,UZ,1627624695
180,fort saint james,54.4333,-124.25,59.88,68,52,2.39,CA,1627624696
181,almeirim,-1.5233,-52.5817,72.52,95,28,2.86,BR,1627624696
182,eirunepe,-6.6603,-69.8736,62.53,59,65,4.16,BR,1627624696
183,saskylakh,71.9167,114.0833,89.38,32,21,5.66,RU,1627624697
184,esso,55.9333,158.7,54.45,94,100,6.55,RU,1627624697
185,bertinoro,44.1469,12.1389,81.5,36,0,3.74,IT,1627624697
186,victor harbor,-35.5667,138.6167,69.46,58,62,20.96,AU,1627624698
187,deputatskiy,69.3,139.9,61.0,36,84,5.19,RU,1627624698
188,coihaique,-45.5752,-72.0662,37.35,93,90,4.61,CL,1627624698
189,svecha,58.2785,47.5164,71.58,66,53,10.09,RU,1627624699
190,klaksvik,62.2266,-6.589,50.92,88,100,17.29,FO,1627624699
191,san rafael,-34.6177,-68.3301,45.82,35,0,10.29,AR,1627624699
192,kununurra,-15.7667,128.7333,96.78,19,3,5.75,AU,1627624700
193,mendi,-6.1761,143.6513,60.17,96,82,1.72,PG,1627624700
194,atbasar,51.8,68.3333,70.16,33,9,3.06,KZ,1627624700
195,longyearbyen,78.2186,15.6401,44.44,76,75,5.75,SJ,1627624701
196,mandalgovi,45.7625,106.2708,73.24,34,3,18.86,MN,1627624701
197,turukhansk,65.8167,87.9833,70.63,53,89,9.93,RU,1627624701
198,provideniya,64.3833,-173.3,50.11,81,75,6.71,RU,1627624702
199,champerico,14.3,-91.9167,81.72,77,99,4.03,GT,1627624702
200,chuy,-33.6971,-53.4616,39.11,87,6,5.64,UY,1627624702
201,narsaq,60.9167,-46.05,43.61,88,100,3.22,GL,1627624703
202,mananjary,-21.2167,48.3333,71.04,80,70,7.31,MG,1627624703
203,shakiso,5.75,38.9167,58.1,92,100,2.95,ET,1627624704
204,belen,36.4891,36.2233,76.03,47,0,7.14,TR,1627624704
205,wolsztyn,52.1155,16.1171,68.38,57,43,8.19,PL,1627624705
206,cockburn town,21.4612,-71.1419,82.13,77,0,20.04,TC,1627624600
207,lata,40.1629,-8.3327,62.92,96,58,1.88,PT,1627624705
208,port blair,11.6667,92.75,85.73,75,62,17.54,IN,1627624705
209,walvis bay,-22.9575,14.5053,72.55,16,0,26.46,NA,1627624706
210,kieta,-6.2167,155.6333,82.53,80,75,4.5,PG,1627624706
211,nurota,40.5614,65.6886,82.49,20,0,24.94,UZ,1627624706
212,chokurdakh,70.6333,147.9167,56.39,36,88,2.48,RU,1627624707
213,yerbogachen,61.2767,108.0108,80.1,27,4,10.74,RU,1627624707
214,woodstock,43.1334,-80.7497,65.66,90,0,10.02,CA,1627624707
215,katsuura,35.1333,140.3,86.18,72,34,5.93,JP,1627624708
216,bukoba,-1.3317,31.8122,73.38,68,20,11.5,TZ,1627624708
217,acapulco,16.8634,-99.8901,76.89,95,98,7.65,MX,1627624708
218,lagoa,39.05,-27.9833,69.62,85,0,7.54,PT,1627624708
219,portland,45.5234,-122.6762,80.82,50,14,1.01,US,1627624496
220,georgetown,5.4112,100.3354,87.89,71,20,2.3,MY,1627624638
221,pleszew,51.8964,17.7855,65.5,60,89,10.27,PL,1627624709
222,saldanha,-33.0117,17.9442,42.85,82,44,4.88,ZA,1627624709
223,plouzane,48.3833,-4.6167,59.05,85,75,12.66,FR,1627624709
224,tura,25.5198,90.2201,81.34,79,100,7.96,IN,1627624710
225,fuxin,42.0156,121.6589,70.47,96,100,10.76,CN,1627624710
226,aklavik,68.2191,-135.0107,67.03,63,98,5.17,CA,1627624710
227,zelenoborsk,61.4669,64.0333,61.74,41,79,7.85,RU,1627624710
228,moerai,-22.4333,-151.3333,71.96,64,3,10.98,PF,1627624711
229,maarianhamina,60.0973,19.9348,62.46,67,20,8.05,AX,1627624711
230,haines junction,60.7522,-137.5108,62.55,48,20,4.61,CA,1627624711
231,norman wells,65.282,-126.8329,66.24,68,75,3.44,CA,1627624711
232,bouloupari,-21.8667,166.05,72.95,79,67,11.59,NC,1627624712
